Cubo_Num,K_Mezcla,Mezcla,Solucion,Longitud_Solucion,Tiempo_ms
1,8,"R B' L F L' R' L' F","F' R L L F' L' B R'",8,0.2759
2,10,"L D' B' U' B R U F D L'","R' L R D' F' U' R' B' U B D L'",12,5.0590
3,12,"D B' R' L D' R' F' R B' R D F'","F D' R' F B F' R' F R D R L' B D'",14,285.1652
4,11,"B R' F' D' L F' L' F U B R","R' B' U' F' L F L' D F R B'",11,3.0710
5,12,"L U' F' L' F B' L D' U D' R U'","U R' U' D U D U' L' F' B L F U L'",14,26.2296
6,10,"R' U F B L B' F U' D' R","R' U D F' B L' F' B' U' R",10,0.5309
7,9,"F U' B D B D L D B","B' D' L' D' B' D' B' U F'",9,3.7256
8,10,"L D B U' F' D' R' F L B'","B L' F' R D F U B' D' L'",10,1.0958
9,8,"B' F U D' F B L F'","F L' F' B' U' D F' B",8,0.5997
10,9,"D U' B L' R D' U' B' F","F' B U D R' L B' U D'",9,3.8043
11,10,"F L' R U' B' R L R' L' U'","U B U R' L F'",6,0.0046
12,12,"F U' B D R' D U R U L B' U'","U B L' U' R' U D' U U R D' B' U F'",14,40.0631
13,12,"U' L F U B' R B' D L R B' L","L' B R' L' U D' U' B R' B U' F' L' U",14,2.2838
14,11,"F U' R' B' F R' F B L B' D'","D B L' F' B' R F' B R U F'",11,5.2847
15,9,"D R' L' U L' U' D R F'","F R' U D' L U' R L D'",9,3.0651
16,12,"R' L' R U' F L F R U' L' B' D'","D B L U R' F' L' F' U L",10,0.9362
17,10,"R' D L D' R' F B' L U D'","U' D L' F' B R D L' D' R",10,0.0681
18,10,"F' L F R D B R' B D R","R' D' B' R B' D' R' F' L' F",10,6.2614
19,8,"L' D' R D F' R F D'","D F' R' F D' R' D L",8,0.7227
20,9,"L F' L D F' B U' B D'","D B' U F B' D' L' F L'",9,1.1559
21,12,"D' L' R B' D' U D' B' D L U' F'","F U L' D' B U' D D B R' L D",12,26.1669
22,7,"B' R' L' R D' U' F'","F U D L B",5,0.0054
23,9,"F D' R' L' R' U' D' L' D","D' R L R' U D R R L D F'",11,359.7233
24,11,"F' U' D' R' F L R' D' R U' B","B' U R' D R L' F' R U D F",11,44.1489
25,10,"F' B' D U L R' D' L D' F","F' D R L' R' U D U' R L' U' D' F B",14,3.3359
26,9,"U' B R' F' D L D' B' L'","L B D L' D' F R B' U",9,0.9597
27,12,"B' U' F' L U' B' L R L' F B D'","D F' B' R' B U L' F U B",10,42.2499
28,11,"R D R L' U R F L' U R' U","U' R U' L F' R' U' R' L D' R'",11,3.2010
29,9,"R' D L R' D' U R' F' L'","L F R U' D R L' D' R",9,0.4329
30,8,"B' D U F' L D' B' D'","U' D U B D L' F U' D' B",10,1.0019
31,7,"U' B R U F R D","U' D' U R' F' U' R' B' U",9,0.0413
32,10,"B' F B U L B' F' D F' R'","R F D' F B L' U' F'",8,0.7455
33,11,"D' U' D U' R B L D' B F' B'","F D L' B' R' U U",7,0.0664
34,10,"R B R' L' R' B L' D' R' L","R L' D L B' R R L B' R'",10,2.8722
35,12,"U' F D L' R U' F L' R' F D R","R' D' F' R L F' U R' L D' F' U",12,100.3858
36,8,"L B' R F' L B' F' L","L' F B L' F R' B L'",8,1.4680
37,8,"L B R' L U B' R L'","R' L B U' R L' B' L'",8,0.2119
38,8,"L F' R' D R' F R' B'","B R F' R D' R F L'",8,0.4324
39,11,"F' U F D' B' D' R' L R D U","U' D' L' D B D F' U' F",9,0.8797
40,9,"B R' L' D' F U' L' B' R","R' F B F' L U F' D R L B'",11,3.4564
41,12,"L' D' U R U' D' F D F' B' U' B","B' U F B D' F' U D R' U' D L",12,68.3525
42,10,"U F U' F' R' L B D' R' F'","F R D B' R L' F U F' U'",10,3.8645
43,9,"F D F R F U B' R F","F' R' B U' F' R' F' D' F'",9,0.4153
44,7,"D R U R' L' F' D","D' F R L U' R' D'",7,0.0546
45,10,"U' D' B' R' U L' F L B' D'","U' D U B L' F' L U' R B U D",12,11.2501
46,11,"B' F B R B' D' R' D' U' R' F","F' R U D R D B R' F'",9,1.0130
47,11,"D B' F B' L' B' F' U F' D R","R' D' F U' F B L F' B B D'",11,3.1916
48,7,"U R' F L' B L B'","B L' B' L F' R U'",7,0.1842
49,10,"F U R' B L F L D' U' D","U L' F' L' B' R U' F'",8,0.0730
50,10,"B' U F' L' B F B U F U'","U F' U' F' B B L F U' B",10,3.3853
51,9,"D R D' U F R' U' R L","R' L' U R F' U' D R' D'",9,0.7214
52,12,"L' D L R U' B D' B' L' D' U' D'","D U D L B D B' U R' L' D' L",12,86.4020
53,7,"D' U F' D L' B U","U' B' L D' F U' D",7,0.0187
54,10,"R D F R D' R U B R' U","U' R B' U' R' D R' F' D' R'",10,7.3216
55,7,"U B F U' D' L D","D' L' U D F' B' U'",7,0.0218
56,7,"L F' L' B R' F' D","D' F R B' L F L'",7,0.1356
57,12,"D B' U' F R' F' B' U' D R' F U'","U F' R U D' F B R F' U B D'",12,2.3702
58,10,"U' B' L F' B' R' B' F' D' B","B' D R F B R F B L' F B L F' U",14,15136.2630
59,9,"F B D' B' D' L' R' D B","F B' F' D' R L D B D F' B'",11,10.3716
60,7,"B' U' F' U' B L' U'","U L B' U F U B",7,0.0139
61,10,"R' U B' R' F D L B U' R","R' U B' L' D' F' R B U' R",10,1.2681
62,7,"B F R' U' B' F R","R' F' B U R F' B'",7,0.1316
63,10,"F' D F' B' F' U' B' F U D'","D U' F' B U F F B D' F",10,0.7611
64,12,"R' U B D U D' B' U L D' B' L'","L B U D U' L' U' B U' B' U' R",12,4.5562
65,10,"B' R D' U' R' U B L R' L'","R B' U' R U D R' B",8,0.2562
66,9,"D B' L' F U' B' D' B' D","D' B U D U' B U F' L B D'",11,10.9092
67,10,"U' L' B' L' U B D' L' U' D'","U D L D B' U' L B L U",10,2.8763
68,7,"F R B L F' R' L'","R L F L' B' R' F'",7,0.1279
69,10,"B' L F D R U' L F D L","L' D' F' R' L' R U R' D' F' L' B",12,9.1363
70,9,"B U' L U R' B R U R","R' U' R' B' R U' L' U B'",9,0.1181
71,9,"D U' B D' B R' L F' D","D' F R L' B' D B' U D'",9,0.2431
72,7,"B U' F' L R' L R'","R R L L F U B'",7,0.1273
73,8,"R L' D U B D' L' F","F' L D B' U' D' R' L",8,0.4660
74,10,"D U' D L' R' U L' D L' F","F' L D' L U' R L U D D",10,2.9831
75,8,"B' D' B F' D R' D B","B' D' R D' F B' D B",8,0.2850
76,11,"F U' L R' D' L R B' F' R' F'","F R F B R L' R R D R L' U F'",13,23.5113
77,11,"D' L' R D R B' R' F' D' L' F'","F L D F R B R' D' R' L D",11,2.1446
78,11,"R D' F R D F D U R B L","L' B' R' D' U' F' D' R' F' D R'",11,92.6085
79,7,"F' B U R' L' R D'","D L U' F B'",5,0.0065
80,12,"U F D R' L' U' L B' R' U L U","U' L' U' R B L' U R L D' F' U'",12,4.7740
81,9,"D' R D R' U' R' L' U' R","R' U R L U R D' R' D",9,0.8968
82,12,"D' B' R' B' D' L' R B' D R' F U","U' F' R U D' U' F B F' R' L D B R B D",16,163.7745
83,12,"F R L' B' D U B' F' R D F' R'","R F D' R' F B U' D' B R' L F'",12,27.3416
84,12,"L B' U L D' L F R' L' U' D B","F R' F' B' U D' R D L' U' B L'",12,135.8081
85,12,"L U' L B' U R' U' L D' R B' L","L' F B F' R' D L' U R U' B L' U L'",14,37.6620
86,10,"D R D' B F' R' F D B' L","L' B D' F' R F B' D R' D'",10,8.5912
87,10,"D' B' R' U' L' F' L U' R' D","D' R U R L' R' F L U R B D",12,20.2640
88,7,"F' R' D' U' L R' B","B' R L' U D R F",7,0.2529
89,7,"D' L' U' R L' B D","D' B' R' L U L D",7,0.1002
90,12,"U F U' D' F L R B' R' B U B","B' U' B' R B R' L' F' U D F' U'",12,9.6000
91,9,"F L F' B' U D' U B' U'","U B U U D F B L' F'",9,0.2083
92,7,"L' F U' F' B F' U'","U F F B' U F' L",7,0.0546
93,12,"R' F R' D B' D F L' U R B' U'","U B R' U' L F' D' B D' R F' R",12,1245.4845
94,11,"R F U L' B' R U L F B' U","U' F' B L' U' R' B L U' F' R'",11,0.3526
95,7,"L D L F D B' F","F' B D' F' L' D' L'",7,0.1517
96,10,"U' R' L R' L B' F B R' D","D' R F' R R L L U",8,0.1446
97,10,"B' L' R' D F B' F' R L B","B' R L' R R B D' R L B",10,0.5554
98,12,"F U R L D' R U' D' F' D F L","L' F' D' F U D R' D R' L' U' F'",12,13738.3567
99,10,"F' L' F' B D' U' R' F B' L'","R F B' U D' F' B U B B U' D R F",14,460.8972
100,11,"F D U' B' F' D U' F L' U D","U' D' L F' U D' F B U D' F'",11,1.7564
